dataset,C,l1_ratio
dataset_1,0.03727593720314938,1.0
dataset_2,0.005179474679231213,0.1
dataset_3,0.03727593720314938,0.5
dataset_4,0.03727593720314938,0.9
dataset_5,0.2682695795279725,1.0
dataset_6,0.03727593720314938,0.9
dataset_7,0.03727593720314938,0.0
dataset_8,0.013894954943731374,0.0
