dataset,random_seed,n_estimators,min_samples_split,min_samples_leaf,max_samples,max_depth
dataset_7,46,500,5,1,None,20.0
dataset_7,42,100,10,10,None,None
dataset_7,45,100,2,10,0.8,20.0
dataset_7,44,200,2,5,None,10.0
dataset_7,43,100,10,5,None,None
dataset_8,46,500,10,5,None,10.0
dataset_8,42,200,2,1,None,20.0
dataset_8,45,200,2,1,0.8,10.0
dataset_8,44,500,5,1,0.8,None
dataset_8,43,500,2,5,0.8,None
