dataset_name,fold,fit_time,score_time,accuracy,balanced_accuracy,precision,recall,roc_auc,average_precision,n_estimators,min_samples_split,min_samples_leaf,max_samples,max_depth,seed,freq,size,noise
simulated_seed3_freq010_size1000_noise80_dataset,3,392.3182921409607,0.10994768142700195,0.575,0.575,0.5681818181818182,0.625,0.59109375,0.5695917998085257,500,10,1,0.8,20.0,3,10,1000,80
simulated_seed3_freq010_size1000_noise80_dataset,4,391.2237756252289,0.09706997871398926,0.60625,0.60625,0.6164383561643836,0.5625,0.63625,0.6426773667383417,200,5,1,0.8,,3,10,1000,80
simulated_seed3_freq025_size1000_noise5_dataset,0,384.33920097351074,0.11836576461791992,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,3,25,1000,5
simulated_seed3_freq025_size1000_noise5_dataset,1,383.99223804473877,0.36389708518981934,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,3,25,1000,5
simulated_seed3_freq025_size1000_noise5_dataset,2,383.605105638504,0.29779767990112305,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,3,25,1000,5
simulated_seed3_freq025_size1000_noise5_dataset,3,384.0173361301422,0.37392568588256836,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,3,25,1000,5
simulated_seed3_freq025_size1000_noise5_dataset,4,382.718466758728,0.5035467147827148,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,3,25,1000,5
simulated_seed3_freq025_size1000_noise25_dataset,0,377.5107169151306,1.1048343181610107,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,3,25,1000,25
simulated_seed3_freq025_size1000_noise25_dataset,1,381.0255403518677,0.10648655891418457,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,3,25,1000,25
simulated_seed3_freq025_size1000_noise25_dataset,2,378.44853019714355,0.6884331703186035,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,3,25,1000,25
simulated_seed3_freq025_size1000_noise25_dataset,3,381.34400177001953,0.10873770713806152,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,3,25,1000,25
simulated_seed3_freq025_size1000_noise25_dataset,4,380.67938446998596,0.2165675163269043,1.0,1.0,1.0,1.0,1.0,1.0,500,5,10,0.8,20.0,3,25,1000,25
simulated_seed3_freq025_size1000_noise50_dataset,0,386.0416851043701,0.22809720039367676,1.0,1.0,1.0,1.0,1.0,1.0,500,2,1,,10.0,3,25,1000,50
simulated_seed3_freq025_size1000_noise50_dataset,1,389.6885907649994,0.08778119087219238,1.0,1.0,1.0,1.0,1.0,0.9999999999999997,500,2,1,0.8,,3,25,1000,50
